russian translation,name,Persian,Arabic,,DAvar,,DGeorgian,,Rutul Dict,,Rutul Rutul Vera,,Ikhrek Rutul Jariyat,,Ikhrek Rutul Aishe Word,,Ikhrek Rutul Zijawudin 77 Word,,Ikhrek Rutul Salimat 56 Word,,Kina Rutul Nurulla,,Kina Rutul Mevletdin 70 word,,Kina Rutul Magomed-Shapi 67yo word,,Kiche Rutul Serazhudin Word,,Kiche Rutul Sejfulla Word,,Azer,Persian,In our lists for Lezgic (2) or Turkic (1),Arabic,,Kumyk,,Lezgian,,Khlut Alimurad,,Helmets Abduragim,,Helmets Tarlan,,Helmets Murad,,Khlut Alimurad,,Khlut Arsen,,Khlut Sanidir,,Khlut Islam,,Russian,,Mikik Tsakhur Allahverdi,,Mikik Tsakhur Nariman
олень,the reindeer/caribou,gavazn,ghazal,ритIучI,21,iremi,22,марал,1,джейран,2,марал,1,марал,1,нахчир,3,марал,1,михь,4,"михь, джейран","2,4",джейран,2,джейран,2,михь,4,maral,1,gavazn,,,къубагийик,5,мирг,6,мирг,6,марал,1,марал,1,джугъур,7,мирг,6,жейра,2,мирг,6,,NA,олень,7,марал,1,1,1
время,the time,vaght,"waqt, zaman, zamaan","заман, мех, гIуж",3,dro,22,"сагьаIт, вахт, замана, девран, вяде","1,2,3,4,5",вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,"vaxt (здесь был восклицательный знак, непонятно почему)",1,vaght,"1,2",,"заман, вакъти, сагьат","1,2,6",ЧIАВ,7,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,вахт,1,время,8,вахт,1,1,1
деньги,the money,pool,"maal, flous, nuqoud",гIарац,21,puli,6,"танга, шийибыр","1,2",шийбыр,2,шийибыр,2,шийибыр,2,зар,3,шегьибиыр,2,"шийибыр, манутбыр","2,4",шийибыр,2,шийбыр,2,танга,5,танга,5,pul,6,pool,"1,2",,акъча,7,ПУЛ,6,ПУЛ,6,пыль,6,пыль,6,пыль,6,пул,6,пул,6,пул,6,пул,6,деньги,8,пыл,6,1,6
суп,the soup,soop,shorba,чурпа,4,ts'veni,22,цIыс,1,ц1ыс,1,рыкь,2,рикь,2,рыкь,2,рыкь,2,рыкь,2,рыкь,2,рыкь,2,"суп, чорпа","3,4",0,NA,şorbası,4,soop,,,шорпа,4,"хап1а, суп","3,5","хап1а, суп","3,5",йикь,2,йикь,2,йикь,2,"ц1уз, хап1а","5,6",ц1ыз ,6,ц1уз,6,хуьрек,7,суп,3,йикь,2,1,2
свинец (из чего пули),the lead,peeshahangee,rasaas,тIухьи,21,t'q'via,22,къургъушин,1,къургъушин,1,къургъушин,1,къургъушин,1,кургъушен,1,къургъушин,1,къургъушин,1,къургъушин,1,къургъушин,1,къургъушун,1,къургъушин,1,qurğuşun,1,peeshahangee,,,къоргъашын,1,кьуркьушум,1,кьуркьушум,1,гъургъушин,1,гъуршъушин,1,гъуршъушин,1,къыргъышин,1,къыргъышим,1,къургъушин,1,свинец,2,свинец (из чего пули),2,къуркъушин,1,къургъушун,1
коса,the scythe,afandareh,"mihsad, minjal",харицел,21,tseli,22,ч1а1на1к1,1,0,NA,ч1ина1к1,1,ч1а1на1к1,1,ч1инак1,1,чинакь,1,ч1ина1к1,1,ч1инак1,1,ч1инакь,1,ч1анак1,1,дергес,2,na,NA,afandareh,,,чалгъы,3,дергес,2,дергес,2,чалугъ,4,чалгъун,4,чалугъ,4,дургес,2,дергес,2,дергес,2,,NA,коса,5,чалгъу,4,подтв,4
серп,the sickle,"ghaleh, dabreh, afandareh, jakhsook","mihsad, mihash","нилъ, хъандиро",21,0,NA,араб,1,араб,1,араб,1,хыбык,2,хьабак,2,хабахъ,2,араб,1,араб,1,араби,1,араб,1,ик1,3,oraq,4,"ghaleh, dabreh, afandareh, jakhsook",,,оракъ,4,мукал,5,мукал,5,араб,1,араб,1,араб,1,баск1ун,6,баск1ун,6,баск1ун,6,,NA,серп,7,а1ра1б,1,а1раб,1
краска,the paint,rang,"talaa', dihaan, sebgh","лажбар, релъен",21,saʁebavi,22,"шир, ранг","1,2","ранг, шир","1,2",шир,1,ранг,2,читена,3,ранг,2,шир,1,шир,1,ранг,2,шир,1,ранг,2,boya,4,rang,"1,2",,"бояв, сыр","1,4",ранг,2,?шур,1,"ранг, шир","1,2",ранг,2,шир,1,шур,1,шур,1,ранг,2,шир,1,краска,5,шир,1,краска (шир подтвердил),1
тюрьма,the prison,"habs-khaneh, dakan, dokeh, zendan, mahbas","sijn, zindaan",туснахъ,1,tsiχe,22,дустах,1,дустагъ,1,дустагъ,1,дустагъ,1,дустагъ,1,дустагъ,1,дустагъ,1,дустагъ,1,"зулматхана, дустагъ?","1,2",тюрма,3,дустагъ,1,həbsxana,4,"habs-khaneh, dakan, dokeh, zendan, mahbas","1,2",,"туснакъ, зиндан","1,5",дустагъ,1,дусах,1,"тюрма, дустагъ","1,3",тюрма,3,0,NA,дусагъ,1,дустагъ,1,дустагъ,1,дусагъ,1,тюрьма,3,дустагъ,1,1,1
серебро,the silver,0,fiddah,гIарац,21,vertsχli,22,гымыш,1,гымыш,1,гумуш,1,гумуш,1,гумуш,1,гумуш,1,гымыш,1,гымыш,1,гымыш,1,гымыш,1,гымыш,1,gümüş,1,0,,,гюмюш,1,гимиш,1,гимиш,1,гумуш,1,гумуш,1,нукьра,2,гимиш,1,кумыш,1,гумыш,1,гумыш,1,серебро,3,нук1ра (гумуш подтвердил),"1,2",1 (гумуш азер),2
"замок (навесной), ключ",the lock,zoabeh,mighlaaq,"кIулал, кирит, рахай",4,k'lit'e,22,гюлег,1,гюлег,1,гулег,1,гулег,1,гулег,1,гулег,1,гюлег,1,къул?,2,гюлег,1,гюлег,1,гюлег,1,qala,3,zoabeh,,,кирит,4,"КЪЕЛЕ (зАмок), ДАПIАР (замОк)",5,дап1ара,5,куляк,1,куляк,1,0,NA,дап1арар,5,"килога, дап1арар","5,6",куьлаг ,1,кьулаг,1,замок (навесной),7,"куклак (куляк - ветер, тут такого нет)",7,кукляк,7
известковый раствор,the mortar(2),azhand,jeer,гачил раствор,21,na,NA,киредж,1,киредж,1,кирадж,1,кирадж,1,кирадж,1,кирадж,1,кирадж,1,кирадж,1,кирадж,1,киредж,1,киредж,1,minaatan,2,azhand,,,киречли сув,1,киреж (негашеная известь),1,киреж (негашеная известь),1,кирож,1,кирож,1,кирож,1,кереж,1,кереж,1,кереж,1,кереж,1,известковый раствор,3,"киреж, гьак","1,4",киреж (известь),1
крест,the cross,challepa,saleeb,хъанч,1,na,NA,хач,1,хач,1,хач,1,хач,1,хач,1,хач,1,хач,1,хач,1,хач,1,хаш,1,хаш,1,keçmək,2,challepa,,saleeb,хач,1,хаш,1,хаш,1,хач,1,хач,1,хач,1,хаш,1,хам,1,хаш,1,хаш,1,крест,3,хач,1,1,1
кулак,the fist,"oor, mosht",qabdah,зар,21,mušt'i,22,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,худ,1,yumruq,2,"oor, mosht",,,юмурукъ,2,гъуд,1,гъуд,1,худ,1,худ,1,худ,1,гъут,1,гъуд,1,гъут,1,,NA,кулак,3,худ,1,1,1
шутка,the joke,"shukhi, ekhtelat, kheetal",nuktah,махсара,2,χumroba,22,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,масхара,2,зарафат,1,зарафат,1,зарафат,1,zarafat,1,"ekhtelat, kheetal","1,2",,"масхара, самаркъав","2,3",зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,зарафат,1,шутка,4,зарафат,1,1,1
лопата,the spade,beel,"mijrafah, jarouf","бугьун, бел",1,ničabi,22,"бер, юхь","1,2",бер,1,къылсе,3,къылсе,3,къулсе,3,кансе,3,бер,1,бер,1,бер,1,бер,1,лопата,4,kürümək,5,beel,"1,2",,"бел, кюрек, лопата","1,4,6","йирф (деревянная), кьусу (деревянная), пер, юрф","1,2,7,8","йирф (деревянная), кьусу (деревянная), пер, юрф","1,2,7,8",курак,6,курак,6,лопата,4,пер,1,"лопатка, пел","1,4","лопатка, пер","1,4",лопатка,4,лопата,4,курак,6,1,6
ножницы,the scissors or shears,"bor, gheychee","miqass, miqraad",кIвекьмахх,21,mak'rat'eli,22,кьыIчIидбыр,1,кьыч1ид,1,къычид,1,кьы1ч1ид,1,къачид,1,къачид,1,кьыIдичIбыр,1,кьыIчIидбыр,1,къадыч1быр,1,мыкьрад,2,мыкьрад,2,qayçı,1,"bor, gheychee","1,2",,къайчы,1,къайчи,1,мукьрат,2,адиссе,3,адиссе,3,адисси,3,мукьрат,2,мукьрат,2,мукьрат,2,мукьрат,2,ножницы,4,адессе,3,1,3
одеяло,the blanket,patoo,"ghitaa', lihaaf","юргъан, одеял","1,2",mat'q'lis,22,"юргъан, одиял","1,2",юргъан,1,юргъан,1,юргъан,1,юргъан,1,юргъан,1,юргъан,1,адиял,2,юргъан,1,"адиял, юргъан","1,2","адиял, юргъан","1,2",yorğan,1,patoo,,,"ювургъан, шаршав, тёшек шаршав","1,3,4",яргъан,1,юргъан,1,"адиял, юргъан","1,2",ёргъан,1,юргъан,1,юргъан,1,юргъан,1,юргъан,1,одеяло,2,одеяло,2,йоргъан,1,адиял (йургъан теплое),"1,2"
буза,the fermented drink,0,bouða,чIагIа,21,na,NA,"буза, хаIн","1,2",ха1нь,2,хинч1е,3,хинч1е,3,буза/ха1н,"1,2",хинч1е,3,ха1н,2,ха1н,2,"хинче, буза","1,3",хы1нь,2,буза,1,gürültü,4,0,,,боза,1,буза,1,т1ач,5,выхына,6,выхы1на,6,выхынна,6,т1аг,5,т1ач,5,т1ач,5,т1ач,5,буза,1,вы1хна,6,1,6
гусь,the goose,ghaz,wazzah,хъаз,1,bat'i,22,къаз,1,къваз,1,къваз,1,къваз,1,къваз,1,къваз,1,къаз,1,къаз,1,къаз,1,къаз,1,къваз,1,dərzi ütüsü,2,ghaz,"1,2",,къаз,1,КЪАЗ,1,КЪАЗ,1,къаз,1,къаз,1,урдяг,3,къаз,1,къаз,1,къаз,1,0,NA,гусь,4,у1рдагъ,3,1,3
море,the sea,"darya, yam",bahr,ралъад,21,zʁva,22,да1рагь,1,дейра,1,дарья,1,дерьягь,1,дарьягъ,1,дерья,1,дерьягъ,1,дерьягь,1,дерьягь,1,дейра,1,дангыз,2,dəniz,2,yam,,,денгиз,2,гьуьл,3,гьуьл,3,дерье,1,дерье,1,дерье,1,гьуьл,3,гьуьль,3,гьуьль,3,гьуьль,3,море,4,дерья,1,дерьягь,1
сад,the garden,"bagh, baghcheh, baghestan, baghak, bostan","hadeeqah, riyadh",ах,21,baʁi,1,багъ,1,багъ,1,багъ,1,багъ,1,багъ,1,багъ,1,багъ,1,багъ,1,багъ,1,быстан,2,багъ,1,bağ,1,"bagh, baghcheh, baghestan, baghak, bostan","1,2",,бав,1,бахча,3,сагъл,4,багъ,1,багъ,1,багъ,1,"багъ, сагьл","1,4",багъча,3,багъ,1,багъ,1,сад,5,багъ,1,1,1
утка,the duck,"ordak, bat",battah,ордек,1,iχvi,22,уьрдег,1,уьрдег,1,уьрдег,1,"къваз, уьрдег","1,2",уьрдег,1,уьрдег,1,урдег,1,уьрдег,1,оьрдег,1,0,NA,къваз,2,ördək,1,"ordak, bat","1,2",,"оьрдек, бабиш","1,3",п1ат1,4,уьрдег,1,уьрдяг,1,уьрдяг,1,0,NA,уьрдег,1,уьрдег,1,уьрдег,1,-,NA,утка,5,къаз,2,уьрдаг,1
арка,the arch,tagh,qaus,"кIамури, гъапу",21,taʁi,3,чарх ад,1,чарх,1,арка,2,тагъ,3,тагъ,3,чарх,1,чарх,1,чарх,1,арх,1,чарх,1,чарх,1,tağ,3,tagh,"1,2",,гюмез,4,NA,NA,NA,NA,тагъ,3,арка,2,0,NA,чарх,1,чарх,1,чарх,1,арка,2,арка,2,не помнит,NA,нет,NA
колесо,the wheel,"takar, char",ajalah,"гьоко, гьакибер, чарх",1,borbali,22,чарх ад,1,чарх,1,туп,2,туп,2,туп,2,туп,2,туп,2,туп,2,туп,2,чарх,1,чарх,1,təkər,3,"takar, char","1,2",,дёгерчик,4,чарх,1,чарх,1,текар,3,текара,3,текар,3,чарх,1,чарх,1,чарх,1,чарх,1,колесо,5,тякар,3,1,3
виноград,the grape,angoor,enb,цIибил,21,q'urdzeni,22,"тIымыл, изюм, кишмиш","1,2,3",т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,т1ымыл,1,üzüm,2,angoor,,,юзюм,2,ЦИПИЦ,4,уьзуьм,2,т1ымыль,1,т1ымыль,1,т1ымыль,1,уьзуьм,2,уьзуьм,2,уьзуьм,2,уьзуьм,2,виноград,5,т1умуль,1,1,1
молоток,the hammer,"potk (smith's hammer), chakkosh",mitraq,квартIа,21,čakuči,2,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,сант,1,çəkic,2,"potk (smith's hammer), chakkosh","1,2",,чёкюч,2,к1ута,3,к1ута/каш,"3,4",к1аш,4,к1аш,4,к1аш,4,к1аш,4,к1аш,4,к1аш,4,к1аш,4,молоток,5,к1аш,4,1,4
"тухум, род",the clan,taefat,"al, 'aailah, 'asheerah",тухум,1,k'lani,22,"тум, цихил, тухум, кьабиле","1,2,3,4","тухум, цихил","1,2",тухум,1,тухум,1,"тухум, кьабила — редко","1,3","тухум, цыхил - нет","1,2","тухум, хъайбац1ар","1,5","тухум, арха, махле","1,6,7","тухум, ма1хле","1,8",тухум,1,тухум,1,tuhum,1,taefat,,,тухум,1,жинс,9,сихил,2,тухум,1,тухум,1,"тухум, насыр","1,10",сехил,2,"сехил, жинс","2,9",тухум,1,сихил,2,"тухум, род",11,тохум,1,тохум,1
яд,the poison,"zoaf, zefaf, zahr, samm, sharang",samm,загьру,2,šχami,22,"аугъу, зегьер, зегьриман, яман","1,2,3,4",агъу,1,авгъу,1,авгъу,1,авгъу,1,агъу,1,увгъу,1,увгъу,1,авгъа,1,агъу,1,агъу,1,zəhər,2,"zoaf, zefaf, zahr, samm, sharang","1,2",,?,NA,агъу,1,агъу,1,загъыр,2,захыр,2,загъыр,2,агъу,1,агъу,1,агъу,1,0,NA,яд,3,загьар,2,авгъу (загьар азер),1
"граница, межа",the boundary,"marz, parreh, saghar, hashieh, gheervan, karan, kanaf",hadd (pl. hudoud),гIурхъи,21,sazʁvari,22,саргьаIт,1,саргьа1т,1,саргьаIт,1,саргьа1т,1,саргъат,1,саргъат,1,саргъа1т,1,саргьат,1,саргьат,1,са1ргъа1т,1,саргъат,1,sərhəd,1,"parreh, saghar, hashieh, gheervan, karan, kanaf","1,2",,дазу,2,"ГЪАЯТ, СЕРГЬЯТ","1,3","ГЪАЯТ, СЕРГЬЯТ","1,3",сегьрат,1,сегьрат,1,сегьрат,1,сергьет,1,чсергьет,1,сергьет,1,сергьят,1,"граница, межа",4,"гор, сергьа1т (лучше второе)","1,5","вада (гор граница между полями, сергьат аззер)",6
санки,the sledge/sled,"potk, doroshkeh, soortmah, kooban",mizlajah,гьитIинал чанагъал,6,tsiga,22,"гъаIль, гъаIлер",1,гъа1ль,1,кирхе,2,кирше,2,кирше,2,кирше,2,хезек1,3,сиде?,4,гьараби,5,гъаль,1,гъа1ль,1,na,NA,"potk, doroshkeh, soortmah, kooban",,,"чана, чаналар",6,гъел,1,гъилирар,1,хизаг,3,хизаг,3,хизаг,3,жилерар,7,гьэлерар,1,кьамар алерар,8,санки,9,санки,9,хизагъ,3,хизахъ,3
цена,the price,"qeymat, baha","si'r, qeemah, θaman","багьа, къимат, мухь",1,pasi,22,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,кьимет,1,qiymət,1,baha,2,,"багьа, къыймат, гьакъ","1,2,3",мас,4,кьимет,1,кьыймат,1,кьиймат,1,кьимат,1,кьимет,1,к1емет,1,к1емат,1,к1емат,1,цена,5,к1иймат,1,1,1
пила,the saw,arreh,"minsharr, meesharr",хъухъадиро,21,χerχi,22,меншер,1,меншер,1,къыздабил,2,"гирдебил, дархъилаг, *меншер","2,3",гирдебил,2,дархилаг,3,"гирдаб, дархъилак, меншер","1,2,3","кирдаб, дархилаг","2,3",кирдаб,2,меншер,1,меншер,1,mişar,1,arreh,,,бычгъы,4,мишер,1,мишер,1,гирдабиль,2,гердабиль,2,гердабиль,2,меншере,1,меншери,1,меншери,1,,NA,пила,5,"айхьа, гердабиль","1,5",айха,5
лекарство,the medicine,,dawaa',"дару, дарман","1,21",meditsina,22,дарман,1,"дава, дарман","1,2",дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дава,2,дарман,1,tibb,3,,,,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,дарман,1,лекарство,3,дарман,1,1,1
семья,the family,xanevadeh,"aailah, usrah",хъизан,1,oǯaχi,22,"хизан, куьльфет","1,2",хизан,1,хизан,1,хизан,1,кулфат,2,хизан,1,хизан,1,хизан,1,хизан,1,хизан?,1,хизан,1,ailə,3,,,,"уягьлю, агьлю","3,4",килфет,2,хизан,1,хизан,1,хизан,1,хизан,1,хизан,1,хъзан,1,хизан,1,хизан,1,семья,5,хизан,1,1,1
мост,the bridge,,jisr,кьо,21,χidi,22,гъа1,1,гъа1,1,гъа1,1,гъа1,1,гъа,1,гъе1,1,гъа1,1,гъа1,1,гъа,1,гъа1,1,гъа1,1,körpü,2,,,,кёпюр,2,тахта,3,муьгъ,4,цигъ,5,йугъ,6,йугъ,6,муьгъ,4,муьгъ,4,,NA,,NA,мост,7,йы1гъ,6,1,6
"друг, приятель",the friend,dust,saahib,гьудул,21,megobari,22,"хыди, юлдаш, дуст,къардаш","1,2,3,4",юлдаш,1,дуст,2,дуст,2,дуст,2,дуст,2,юлдаш,1,юлдаш,1,"дост, юлдаш","1,2",юлдаш,1,юлдаш,1,dost,2,,,,"къурдаш, ёлдаш, ювукъ, дост ёлдаш","1,2,3,5",КЪАРДАШ,3,дуст,2,дуст,2,дост,2,дуст,2,дуст,2,юлдаш,1,дуст,2,юлдаш,1,"друг, приятель",6,дост,2,1,2
гвоздь,the nail,,mismaar,магI,21,na,NA,"мысмар, хъатах","1,2",мусмар,1,масмар,1,масмар,1,масмар,1,масмар,1,мысмар,1,мысмар,1,мысмар,1,мысмар,1,мысмар,1,dırnaq,3,,,,"мых, чюй","4,5",МИСМАР,1,мысмар,1,мысмар,1,мысмар,1,мысмар,1,масмар,1,масмар,1,"михъ, масмар","1,4",мих,4,гвоздь,6,къадах (мысмар - азерб - для лошадей),2,къадах,2
вилы (сена),the fork(2)/pitchfork,,midrah,no,NA,pits'ali,22,хьылан,1,хьылан,1,хьибк1ари,2,хьибк1ари,2,хьиккари,2,хибкари,2,NA,NA,хылан,1,"хьылан, кьынгери","1,3",хьылан,1,хьылан,1,yaba,4,,,,сенек,5,КЬУЬК,6,КЬУЬК,6,яба,4,яба,4,яба,4,кьуьк,6,кьуьк,6,кьуьк,6,,NA,вилы,7,"хьева, яба","8,4",хьева (яба - мишлеш),8
"щипцы, клещи",the tongs,,qarrasah,гъецI,1,maša,2,"къецI, келбатун","1,2",кельбатун,2,къа1ц1,1,калбатун,2,къац,1,калбатун,2,калбатун,2,"калбатун, къац","1,2",калбатун,2,къа1ц,1,къец,1,maşa (щипцы),3,,,,"маша, келпете","3,4","маша (для углей), хех","3,5",хех,5,кальбатун,2,кальбатун,2,кальбатун,2,хях,5,хех,5,къец1,1,къяц,1,"щипцы, клещи",6,кальбатын,2,1,2
тыква,the pumpkin or squash,,qar'ah,хъабахъ,1,0,NA,къабах,1,къабах,1,къабах,1,къабах,1,кабах,1,кабах,1,къабах,1,къабах,1,къабах,1,къабах,1,къабах,1,balqabaq,2,,,,къабакъ,1,буран,3,къабах,1,кьабах,1,к1абах,1,къабах,1,къабах,1,кабах,1,къабах,1,къабах,1,тыква,4,кьабахь,1,1,1
ложка,the spoon,,mil'aqa,"гъуд, балухъ, бугьун",21,k'ovzi,22,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,дур,1,qaşıq,2,,,,къашыкъ,2,т1ур,1,т1ур,1,к1ук1,3,к1ук1,3,к1ук1,3,т1ур,1,т1ур,1,т1ур,1,т1ур,1,ложка,4,к1ук1,3,1,3
зеркало,the mirror,,"mir'aah, mirayah(dial.)",матIу,21,sark'e,22,гюзгю,1,гюзги,1,гузге,1,гузге,1,гузги,1,гузге,1,гюзге,1,гюзге,1,гюзге,1,гюзгю,1,гюзгю,1,güzgü,1,,,,гюзгю,1,ГУЬЗГУЬ,1,ГУЬЗГУЬ,1,нухри,2,нахури,2,нухари,2,гуьзгуь,1,гуьзгуь,1,гуьзгуь,1,гуьз,1,зеркало,4,нахвари,2,нахварий,2
барабан,the drum,,tablah,къали,21,doli,22,накьра,1,накьра,1,накьра,1,накьра,1,накьра,1,накьра,1,накьра,1,накьра,1,накьра,1,макьра,1,накьра,1,nağara,1,,,,"накъыра, барабан","1,2",ДАЛДАМ,3,ДАЛДАМ,3,накьра,1,накьра,1,накьра,1,далдам,3,далдам,3,далдам,3,далдам,3,барабан,4,накьра,1,1,1
кукуруза,the maize/corn,,ðurrah,цIоросаролъ,21,na,NA,къаргъадалый,1,къаргъадалый,1,къаргъудали,1,къаргъудали,1,каргъудали,1,къаргъудали,1,къаргъудели,1,къаргъудели,1,каргъаделле,1,кукуруза,2,къаргъадалай,1,qarğıdalı,1,,,,гьабижай,3,гьажибугъда,4,кукуруз,2,къаргъадали,1,къаргъадали,1,къаргъадали,1,кукуруз,2,"ажибулда, кукуруз","2,4",кукуруз,2,,NA,кукуруза,2,къаргъадали,1,1,1
войлок (из чего делают бурки),the felt,,"libd, lubbad",буртина,21,pet'ri,22,лит,1,лит,1,лит,1,лит,1,лит,1,лит,1,лит,1,бегиг?,2,тын,3,тараджа?,4,дыныд ухур,5,keçə,6,,,,кийиз,7,лит,1,лит,1,кече,6,лит,1,0,NA,лит,1,0,NA,лит,1,0,NA,войлок,7,йис (для веревок; кече подтвердил - для бурок; лит - это бурка),8,киче,6
раб,the slave,bandeh,abd,лагъ,21,mona,22,"къул, лыIкI","1,2",къул,1,къул,1,наджбар,3,къул,1,"къул, наджбар","1,3",лык1,2,нуькьва,4,къул,1,лы1к1,2,лыкь,2,qul,1,,,,къул,1,"бенде, къул, лук1","1,2,5",лык1,2,къул,1,къул,1,къул,1,лык1,2,лык1,2,лык1,2,"лык1, лук1",2,раб,6,,NA,къул,1
игла,the needle(1),,"khiyaat, ibrah, shaukah",рукIкIен,21,nemsi,22,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,руб,1,iynə,2,,,,ине,2,NA,NA,раб,1,выеба,3,ваяба,3,выяба,3,раб,1,раб,1,раб,1,,NA,игла,4,вийба,3,1,3
труп,the corpse,,juθmaan,"жаназа (человеческий), балкан (животное)",3,gvami,22,майит,1,майит,1,майит,1,майит,1,майит,1,майит,1,джандахъ,2,майит,1,джаназа,3,майит,1,майит,1,cəsəd,4,,,,"оьлген къаркъара, сюек","5,6",мийит,1,мийит,1,элу,7,элу,7,майит,1,муит,1,муит,1,муит,1,маит,1,труп,8,о1ле,7,джаназа (о1ле подтвердил),"3,7"
работа,the work,kar,amal,хIалтIи,21,mušaoba,22,гвалах,1,к1валах,1,ма1ъа1ш,2,ма1ъа1ш,2,маъа1ш,2,маъа1ш,2,к1валах,1,к1валах,1,к1валах,1,к1валах,1,квалах,1,iş,3,,,,иш,3,к1валах,1,к1валах,1,иш,3,иш,3,ищ,3,к1валах,1,0,NA,к1валах,1,,NA,работа,4,иш,3,1,3
мука (пшеничная),the flour,,"tihn, taheen","гIазаб, гIакъуба",21,pkvili,22,ху1р,1,хы1р,1,хы1р,1,хы1р,1,ху1р,1,ху1р,1,ху1р,1,ху1р,1,хы1р,1,хы1р,1,гъу1ль,2,un,3,,,,ун,3,гъуьр,1,гъуьр,1,ху,1,ху,1,ху,1,хуьр,1,хуьр,1,хуьр,1,хуьр,1,мука (пшеничная),4,ху1,1,1,1
топор,the axe/ax,,"tabar, fa's",гIащтIи,21,tsuli,22,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,балта,1,balta,1,,,,балта,1,як1в,2,наджах,3,як1в,2,як1в,2,як1в,2,наджах,3,наджах,3,нажах,3,нажах,3,топор,4,як1в,2,1,2
кошка,the cat,,"qittah, hirrah","кето, гъанцIа, гъецI",1,k'at'a,1,га1т,1,гыт,1,гет,1,гет,1,кет,1,гет,1,гет,1,гет,1,гет,1,га1ть,1,гет,1,pişik,2,,,,мишик,2,кац,3,кац,3,бисий,2,биси,2,биси,2,кац,3,кац1,3,кац1,3,кац1,3,кошка,4,бисий,2,1,2
стена,the wall,,"haait, jidaar, judraan",къед,21,k'edeli,22,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,мас,1,divar,2,,,,"там, чыр","3,4",цал,5,цал,5,дувар,2,дувар,2,давар,2,цал,5,цал,5,цал,5,цал,5,стена,6,"дувар, баругъ (выложенная стена)","2,7",дывар,2
крупный рогатый скот,the cattle,,mawaashi,"чIегIербоцIи, ħaywan",21,na,NA,"къара мал, зебыр","1,2",даварар,3,"даварар, къара мал","1,3","даварар, зер","2,3","зебыр, малбыр","1,3","йас, зер, малбыр, карамал — азерб","1,2,3",карамал,1,малбыр,1,малбыр,1,малбыр,1,даварар,2,mal-qara,1,,,,къара тувар (рогатый скот),1,къарамал,1,къарамал,1,къарамал,1,чавра,4,чавра,4,къармал,1,"колер, малар","1,5","мал-хеб, къарамал","1,6",суьри,7,крупный рогатый скот,8,"мал, гьайванар, къарамал подтвердил",1,"къарамал по азр, чавра","1,4"
долг (денежный),the debt,,"dein, madyuniyah","налъи, борч, тIадаб жо, гьабизе тIадаб иш, къарз",1,vali,22,бырдж,1,бырдж,1,бырдж,1,бырдж,1,бырдж,1,бырч,1,бырдж,1,бырдж,1,бырдж,1,бырдж,1,бырдж,1,borc,1,,,,борч,1,БУРЖ,1,БУРЖ,1,борж,1,борж,1,борж,1,бурж,1,бурж,1,бурж,1,бурж,1,долг,2,борж,1,1,1
свинья,the pig,,khenzeer,болъон,21,ʁori,22,дунгъуз,1,дунгъуз,1,дунгъуз,1,дунгъуз,1,дунгуз,1,дунгуз,1,дунгъуз,1,дунгъуз,1,дунгуз,1,дунгъуз,1,дунгъуз,1,donuz,1,,,,донгуз,1,вак,2,вак,2,вок,2,вок,2,вок,2,"вок, цуьнуь","2,3",вак,2,вак,2,вак,2,свинья,4,вок,2,1,2
петух,the cock/rooster,,deek,хIелеко,21,mamali,22,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,дадал,1,sik,2,,,,хораз,3,к1ек,4,к1ек,4,дадал,1,дадал,1,дадал,1,к1ек,4,кек,4,к1ек,4,,NA,петух,5,дадал,1,1,1
