russian translation,name,Persian,Arabic,,DAvar,,DGeorgian,,Rutul Dict,,Rutul Rutul Vera,,Ikhrek Rutul Jariyat,,Ikhrek Rutul Aishe Word,,Ikhrek Rutul Zijawudin 77 Word,,Ikhrek Rutul Salimat 56 Word,,Kina Rutul Nurulla,,Kina Rutul Mevletdin 70 word,,Kina Rutul Magomed-Shapi 67yo word,,Kiche Rutul Serazhudin Word,,Kiche Rutul Sejfulla Word,,Azer,Persian,In our lists for Lezgic (2) or Turkic (1),Arabic,,Kumyk,,Lezgian,,Khlut Alimurad,,Helmets Abduragim,,Helmets Tarlan,,Helmets Murad,,Khlut Alimurad,,Khlut Arsen,,Khlut Sanidir,,Khlut Islam,,Russian,,Mikik Tsakhur Allahverdi,,Mikik Tsakhur Nariman
слива,the plum,"alang, allocheh, aloozard, zalzanak, gowjeh, nesbat, noghl, noghlee","barqooqa, khokha, ijasa",кокó/н,4,kliavi,2,0,NA,шугьди,1,гавали,2,гывели,2,гыгели,2,кавали,2,гывыли,2,кавали,2,кавали,2,шегьди,1,пылибыр?,3,ҝавалы,2,"alang, allocheh, aloozard, zalzanak, gowjeh, nesbat, noghl, noghlee",,,кокан,4,ХВАТ,5,ХВАТ,5,гавали,2,гавали,2,гавали,2,хот,6,хот,6,хват,6,хут,6,слива,7,гавале,2,1,2
стадо (овец),the herd,"bagher (of oxen), khook-ban (swine), -cheran (swine), rameh, padeh (oxen), seeleh, faseeleh, galleh, gowbareh","ra'iya, qatee', baqer (cattle), qoot (sheep)",рехъéн,21,ǯogi,22,суьрю,1,нехир,2,хы1б,3,ятах,4,ятах,4,нехир,2,суьруь,1,суьруь,1,суьруь,1,нехир,2,ирхи/илхи,5,сүрү; нахыр,"1,2","bagher (of oxen), khook-ban (swine), -cheran (swine), rameh, padeh (oxen), seeleh, faseeleh, galleh, gowbareh",,,"сирив, йылкъы, тувар, гезив (гьайванлар)","1,2,5,6",ИЛХИ; НЕХИР; СУЬРУЬ (овец); КЪИФЛЕ; РАМАГ,"1,2,5,7,8","суьруь, нехир","1,2",нахир,2,баги,9,"нахир, сури - овец","1,2","нехир, шуьруь","1,2",нехир,2,нехир,2,суьри,1,стадо (овец),10,"сюри (нахир крс, бак1и скот КРС и МРС)",1,1,1
четки,the rosary,"tasbeeh, sobha","misbaha, sobha",na,NA,k'rialosani,22,супгьаIнбыр,1,0,NA,ц1алабыр,2,супгъан,1,супгъан,1,супгъан,1,таспыгъ,3,"гай, супгъан","1,4",таспягъ,3,супгъанбыр,1,супгъанбыр,1,təsbeh,3,"tasbeeh, sobha","1,2",,"зувгьанлар, тасбигьлер","1,3",ТЕСПЯГЬ,3,ТЕСПЯГЬ,3,тапсыгъ,3,таспыгъ,3,тапсыгъ,3,теспягь,3,теспягь,3,тесаягь,3,теспягь,3,четки,4,та1пс,3,тапсы,3
"кнут, хлыст (для лошади)",the whip,"tazianeh, dastaneh, dom, kharzan, shallagh, ghamchee","qamshah, sawt",цIал,22,šolt'i,22,къамчи,1,т1ул,2,къамчи,1,кьамчи,1,къамчи,1,анчи,1,къамчи,1,къамчи,1,къамчи,1,0,NA,къамчи,1,чубуг; гамчы; гырманҹä,"1,2,3","tazianeh, dastaneh, dom, kharzan, shallagh, ghamchee","1,2",,къамучу,1,"КЪАМЧИ, ТIВАЛ","1,2",КЪАМЧИ,1,шунк,4,чунк1,4,чунк1ь,4,къамчи,1,къамчи,1,къамчи,1,къамчи,1,"кнут, хлыст (для лошади)",5,чу1мк,4,1,4
сахар,the sugar,"qand, abgeeneh, zad, shakar, shakkar",sukkar,чакар,1,šakari,1,шагар,1,шагар,1,шеккер,1,шеккер,1,шекер,1,шекер,1,шагар,1,шагар,1,шагар,1,шагар,1,шагар,1,шəкəр; гəнд,"1,2","abgeeneh, zad, shakar, shakkar","1,2",,шекер,1,НАБАТ,3,шекер,1,шакар,1,шакар,1,шакар,1,шекер,1,шакар,1,шакар,1,песук,NA,сахар,4,ганд,2,къанд,2
мыло,the soap,saboon,saboon,сапун,1,sap'oni,1,0,NA,сабун,1,сабын,1,сабын,1,сабын,1,сапун,1,сабын,1,сабын,1,сабын,1,сабын,1,сабын,1,сабун,1,saboon,,,сапун,1,ЗАПУН,1,сапун,1,сапынь,1,сап1ань,1,сап1ынь,1,запун,1,запун,1,запун,1,запун,1,мыло,2,сап1ын,1,1,1
вино,the wine,"aveezeh, badeh, mey",khamr,"чагъир, жа / простор. разг. (водка) гIаракъи",1,ʁvino,22,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,шəраб; чахыр,"1,2","aveezeh, badeh",,,"чагъыр (виноградное), гьаракъы (самогон)",1,RUS,3,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахыр,1,чахур,1,чахур,1,вино,3,чахыр,1,1,1
стол,the table,"miz, jadval, khan","maktab (desk), tawilah (any table)",стол,1,magida,22,устIул,1,уст1ул,1,"ист1ол, иск1ам","1,2",иск1ам,2,стол/искам,"1,2",искам,2,"уст1ул, иск1ам","1,2",искам,2,стол,1,тев,3,стол,1,маса; RUS,"4,1","jadval, khan",,,стол,1,RUS,1,RUS,1,стол,1,стол,1,истол,1,стул,1,стул,1,устул,1,устул,1,стол,1,стол,1,1,1
бумага,the paper,kaghiz,"waraq (general), waraqa (a piece of paper)",кагъат,1,kaʁaldi,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,кагъат,1,гагъат,1,кагъат,1,kağız,1,kaghiz,"1,2",,къагъыз,1,КАГЪАЗ,1,чагъар,1,кагъаз,1,къазить,2,газить,2,чар,1,чар,1,чар,1,чар,1,бумага,4,кагъыз,1,1,1
магазин,the shop/store,"forushgah, maghoza, hanoot, dokkan","mahall, dukkan, matjar",тукен,1,maʁazia,22,дукан,1,тукан,1,"кап1рат1ив, тукан","1,2","магазин, дукан","1,3",тукан,1,тукан,1,тукан,1,туькан,1,0,NA,тукан,1,тукан,1,mağaza,3,"hanoot, dokkan",,,тюкен,1,"ТУЬКВЕН, RUS","1,3","ТУЬКВЕН, RUS","1,3",магазин,3,магазин,3,дукан,1,туьквен,1,туьквен,1,туьквен,1,туьквен,1,магазин,3,"магазин (раньше говорили к1ап1рат1иль, дукан)","1,2,3","магазин, к1ап1рат1иль","2,3"
