Avar;Azer;Chechen;Dargwa;Kumyk;Lak;Lezgian
Avar;0.0;0.8279569892473119;0.8623188405797102;0.7360594795539034;0.7121771217712177;0.718978102189781;0.8333333333333334
Azer;0.8279569892473119;0.0;0.9217081850533808;0.8321167883211679;0.5884476534296029;0.822463768115942;0.7283018867924528
Chechen;0.8623188405797102;0.9217081850533808;0.0;0.8796992481203008;0.8555555555555555;0.9216417910447762;0.9310344827586207
Dargwa;0.7360594795539034;0.8321167883211679;0.8796992481203008;0.0;0.7153558052434457;0.7293233082706767;0.7829457364341085
Kumyk;0.7121771217712177;0.5884476534296029;0.8555555555555555;0.7153558052434457;0.0;0.7378277153558053;0.7354085603112841
Lak;0.718978102189781;0.822463768115942;0.9216417910447762;0.7293233082706767;0.7378277153558053;0.0;0.7769230769230769
Lezgian;0.8333333333333334;0.7283018867924528;0.9310344827586207;0.7829457364341085;0.7354085603112841;0.7769230769230769;0.0

