Andi;Archi;Avar;Bezhta;Botlikh;Gagatli;Rikvani
Andi;0.0;0.50920245398773;0.7531645569620253;0.7080745341614907;0.358974358974359;0.10062893081761007;0.08661417322834646
Archi;0.7531645569620253;0.6968085106382979;0.0;0.7989130434782609;0.7298850574712644;0.7471264367816092;0.7013888888888888
Avar;0.50920245398773;0.0;0.6968085106382979;0.6;0.46111111111111114;0.4943820224719101;0.4429530201342282
Bezhta;0.7080745341614907;0.6;0.7989130434782609;0.0;0.6892655367231638;0.7028571428571428;0.6802721088435374
Botlikh;0.358974358974359;0.46111111111111114;0.7298850574712644;0.6892655367231638;0.0;0.35294117647058826;0.3691275167785235
Gagatli;0.10062893081761007;0.4943820224719101;0.7471264367816092;0.7028571428571428;0.35294117647058826;0.0;0.0851063829787234
Rikvani;0.08661417322834646;0.4429530201342282;0.7013888888888888;0.6802721088435374;0.3691275167785235;0.0851063829787234;0.0
