Avar;Azer;Chechen;Dargwa;Kumyk;Lak;Lezgian
Avar;0.0;0.883054892601432;0.9046454767726161;0.8195121951219512;0.802439024390244;0.7980049875311721;0.8839506172839506
Azer;0.883054892601432;0.0;0.9406175771971497;0.8779904306220095;0.6023809523809524;0.8606356968215159;0.7941176470588235
Chechen;0.9046454767726161;0.9406175771971497;0.0;0.918918918918919;0.8918918918918919;0.9413265306122449;0.9477611940298507
Dargwa;0.8195121951219512;0.8779904306220095;0.918918918918919;0.0;0.7946210268948656;0.7844611528822055;0.8478802992518704
Kumyk;0.802439024390244;0.6023809523809524;0.8918918918918919;0.7946210268948656;0.0;0.8075949367088607;0.8071065989847716
Lak;0.7980049875311721;0.8606356968215159;0.9413265306122449;0.7844611528822055;0.8075949367088607;0.0;0.8337595907928389
Lezgian;0.8839506172839506;0.7941176470588235;0.9477611940298507;0.8478802992518704;0.8071065989847716;0.8337595907928389;0.0

